Rank,Player,Team,Role,Category,Pool,Grade,Rating,Sub_Scoring,Sub_Impact,Sub_Consistency,Sub_Experience,Matches,Bat_Runs,Bat_SR,Bat_Average,Legacy,URL,Sub_WicketTaking,Sub_Economy,Sub_Efficiency,Bowl_Wickets,Bowl_Eco,Bowl_Avg,Sub_Batting,Sub_Bowling,Sub_Versatility,Nationality
1,Virat Kohli,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,A,99,99.0,67.0,98.0,99,267.0,8661.0,132.86,39.55,10,https://www.cricbuzz.com/profiles/1413/virat-kohli,,,,,,,,,,Indian
2,Yuzvendra Chahal,Punjab Kings,Bowler,BOWL,BOWL,A,99,,,,99,174.0,,,,10,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal,99.0,73.0,89.0,221.0,7.96,22.77,,,,Indian
3,Jasprit Bumrah,Mumbai Indians,Bowler,BOWL,BOWL,A,99,,,,99,145.0,,,,8,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah,99.0,84.0,91.0,183.0,7.25,22.03,,,,Indian
4,Sunil Narine,Kolkata Knight Riders,Bowling Allrounder,AR,AR,A,98,,,,99,188.0,1780.0,,,10,https://www.cricbuzz.com/profiles/2276/sunil-narine,,,,192.0,,,84.0,83.0,83.0,West Indian
5,Bhuvneshwar Kumar,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,A,98,,,,99,190.0,,,,8,https://www.cricbuzz.com/profiles/1726/bhuvneshwar-kumar,99.0,77.0,80.0,198.0,7.69,27.33,,,,Indian
6,Rohit Sharma,Mumbai Indians,Batsman,BAT,BAT_WK,A,96,99.0,66.0,74.0,99,272.0,7046.0,132.1,29.73,8,https://www.cricbuzz.com/profiles/576/rohit-sharma,,,,,,,,,,Indian
7,Ravindra Jadeja,Rajasthan Royals,Bowling Allrounder,AR,AR,A,95,,,,99,254.0,3260.0,,,8,https://www.cricbuzz.com/profiles/587/ravindra-jadeja,,,,170.0,,,85.0,78.0,78.0,Indian
8,MS Dhoni,Chennai Super Kings,WK-Batsman,WK,BAT_WK,A,95,99.0,70.0,95.0,99,278.0,5439.0,137.46,38.3,4,https://www.cricbuzz.com/profiles/265/ms-dhoni,,,,,,,,,,Indian
9,KL Rahul,Delhi Capitals,WK-Batsman,WK,BAT_WK,A,95,99.0,69.0,99.0,99,145.0,5222.0,136.03,46.21,4,https://www.cricbuzz.com/profiles/8733/kl-rahul,,,,,,,,,,Indian
10,Harshal Patel,Sunrisers Hyderabad,Bowler,BOWL,BOWL,A,94,,,,89,119.0,,,,6,https://www.cricbuzz.com/profiles/8175/harshal-patel,99.0,58.0,87.0,151.0,8.86,23.7,,,,Indian
11,Sandeep Sharma,Rajasthan Royals,Bowler,BOWL,BOWL,A,93,,,,98,136.0,,,,4,https://www.cricbuzz.com/profiles/8356/sandeep-sharma,98.0,71.0,78.0,146.0,8.03,27.88,,,,Indian
12,Trent Boult,Mumbai Indians,Bowler,BOWL,BOWL,A,92,,,,89,119.0,,,,4,https://www.cricbuzz.com/profiles/8117/trent-boult,96.0,66.0,82.0,143.0,8.38,26.2,,,,New Zealander
13,Axar Patel,Delhi Capitals,Bowling Allrounder,AR,AR,A,91,,,,99,162.0,1916.0,,,6,https://www.cricbuzz.com/profiles/8808/axar-patel,,,,128.0,,,82.0,72.0,72.0,Indian
14,Ajinkya Rahane,Kolkata Knight Riders,Batsman,BAT,BAT_WK,A,91,95.0,61.0,76.0,99,198.0,5032.0,125.02,30.5,4,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane,,,,,,,,,,Indian
15,Sanju Samson,Chennai Super Kings,WK-Batsman,WK,BAT_WK,A,89,89.0,71.0,76.0,99,176.0,4704.0,139.05,30.75,2,https://www.cricbuzz.com/profiles/8271/sanju-samson,,,,,,,,,,Indian
