Rank,Player,Team,Role,Category,Pool,Grade,Rating,Sub_Scoring,Sub_Impact,Sub_Consistency,Sub_Experience,Matches,Bat_Runs,Bat_SR,Bat_Average,Legacy,URL,Sub_WicketTaking,Sub_Economy,Sub_Efficiency,Bowl_Wickets,Bowl_Eco,Bowl_Avg,Sub_Batting,Sub_Bowling,Sub_Versatility,Nationality
34,Quinton de Kock,Mumbai Indians,WK-Batsman,WK,BAT_WK,B,79,64.0,67.0,76.0,87,115.0,3309.0,134.03,30.64,0,https://www.cricbuzz.com/profiles/8520/quinton-de-kock,,,,,,,,,,South African
143,Prashant Solanki,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,57,,,,31,2.0,,,,0,https://www.cricbuzz.com/profiles/12805/prashant-solanki,5.0,99.0,97.0,2.0,6.33,19.0,,,,Indian
82,Jitesh Sharma,Royal Challengers Bengaluru,WK-Batsman,WK,BAT_WK,C,68,22.0,83.0,63.0,57,55.0,991.0,157.06,25.41,0,https://www.cricbuzz.com/profiles/10214/jitesh-sharma,,,,,,,,,,Indian
149,Glenn Phillips,Gujarat Titans,Batting Allrounder,AR,AR,C,56,,,,34,8.0,65.0,,,0,https://www.cricbuzz.com/profiles/10693/glenn-phillips,,,,2.0,,,24.0,34.0,24.0,New Zealander
152,Anukul Roy,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,56,,,,35,11.0,26.0,,,0,https://www.cricbuzz.com/profiles/12344/anukul-roy,,,,6.0,,,17.0,29.0,17.0,Indian
127,Digvesh Singh Rathi,Lucknow Super Giants,Bowler,BOWL,BOWL,C,61,,,,36,13.0,,,,0,https://www.cricbuzz.com/profiles/1448289/digvesh-singh-rathi,12.0,68.0,72.0,14.0,8.25,30.64,,,,Indian
50,Mitchell Marsh,Lucknow Super Giants,Batting Allrounder,AR,AR,B,74,,,,57,55.0,1292.0,,,0,https://www.cricbuzz.com/profiles/6250/mitchell-marsh,,,,37.0,,,72.0,43.0,43.0,Australian
117,Dewald Brevis,Chennai Super Kings,Batsman,BAT,BAT_WK,C,62,12.0,80.0,71.0,38,16.0,455.0,153.2,28.44,0,https://www.cricbuzz.com/profiles/20538/dewald-brevis,,,,,,,,,,South African
19,Hardik Pandya,Mumbai Indians,Batting Allrounder,AR,AR,A,89,,,,99,152.0,2749.0,,,6,https://www.cricbuzz.com/profiles/9647/hardik-pandya,,,,78.0,,,90.0,50.0,50.0,Indian
147,Mayank Yadav,Lucknow Super Giants,Bowler,BOWL,BOWL,C,57,,,,33,6.0,,,,0,https://www.cricbuzz.com/profiles/22401/mayank-yadav,9.0,53.0,94.0,9.0,9.17,20.56,,,,Indian
30,Rishabh Pant,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,B,82,68.0,76.0,85.0,92,125.0,3553.0,147.62,34.16,0,https://www.cricbuzz.com/profiles/10744/rishabh-pant,,,,,,,,,,Indian
135,Kartik Tyagi,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,58,,,,40,20.0,,,,0,https://www.cricbuzz.com/profiles/13136/kartik-tyagi,13.0,37.0,37.0,15.0,10.14,47.53,,,,Indian
112,Nitish Kumar Reddy,Sunrisers Hyderabad,Batting Allrounder,AR,AR,C,62,,,,44,28.0,485.0,,,0,https://www.cricbuzz.com/profiles/14701/nitish-kumar-reddy,,,,5.0,,,50.0,14.0,14.0,Indian
37,Ishan Kishan,Sunrisers Hyderabad,WK-Batsman,WK,BAT_WK,B,78,58.0,70.0,72.0,89,119.0,2998.0,137.65,29.11,0,https://www.cricbuzz.com/profiles/10276/ishan-kishan,,,,,,,,,,Indian
92,Shashank Singh,Punjab Kings,Batting Allrounder,AR,AR,C,67,,,,50,41.0,773.0,,,0,https://www.cricbuzz.com/profiles/10919/shashank-singh,,,,1.0,,,67.0,14.0,14.0,Indian
36,Arshdeep Singh,Punjab Kings,Bowler,BOWL,BOWL,B,78,,,,71,82.0,,,,0,https://www.cricbuzz.com/profiles/13217/arshdeep-singh,66.0,56.0,81.0,97.0,9.0,26.49,,,,Indian
142,Kamindu Mendis,Sunrisers Hyderabad,Batting Allrounder,AR,AR,C,57,,,,32,5.0,92.0,,,0,https://www.cricbuzz.com/profiles/10940/kamindu-mendis,,,,2.0,,,38.0,29.0,29.0,Sri Lankan
41,Nitish Rana,Delhi Capitals,Batsman,BAT,BAT_WK,B,77,56.0,69.0,69.0,89,118.0,2853.0,136.77,27.7,0,https://www.cricbuzz.com/profiles/9204/nitish-rana,,,,,,,,,,Indian
109,Abdul Samad,Lucknow Super Giants,Batting Allrounder,AR,AR,C,63,,,,61,63.0,741.0,,,0,https://www.cricbuzz.com/profiles/14628/abdul-samad,,,,2.0,,,57.0,5.0,5.0,Indian
23,Shubman Gill,Gujarat Titans,Batsman,BAT,BAT_WK,B,84,74.0,70.0,98.0,89,118.0,3866.0,138.72,39.45,0,https://www.cricbuzz.com/profiles/11808/shubman-gill,,,,,,,,,,Indian
100,Abishek Porel,Delhi Capitals,WK-Batsman,WK,BAT_WK,C,66,16.0,78.0,63.0,45,31.0,661.0,149.89,25.42,0,https://www.cricbuzz.com/profiles/24326/abishek-porel,,,,,,,,,,Indian
26,Jaydev Unadkat,Sunrisers Hyderabad,Bowler,BOWL,BOWL,B,83,,,,86,112.0,,,,2,https://www.cricbuzz.com/profiles/6327/jaydev-unadkat,74.0,58.0,73.0,110.0,8.88,30.58,,,,Indian
33,Ishant Sharma,Gujarat Titans,Bowler,BOWL,BOWL,B,79,,,,88,117.0,,,,0,https://www.cricbuzz.com/profiles/702/ishant-sharma,65.0,66.0,63.0,96.0,8.38,35.18,,,,Indian
69,Liam Livingstone,Sunrisers Hyderabad,Batting Allrounder,AR,AR,B,70,,,,54,49.0,1051.0,,,0,https://www.cricbuzz.com/profiles/10045/liam-livingstone,,,,13.0,,,70.0,28.0,28.0,English
119,Wanindu Hasaranga,Lucknow Super Giants,Bowling Allrounder,AR,AR,C,62,,,,48,37.0,81.0,,,0,https://www.cricbuzz.com/profiles/10926/wanindu-hasaranga,,,,46.0,,,15.0,45.0,15.0,Sri Lankan
159,Rasikh Dar Salam,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,55,,,,36,13.0,,,,0,https://www.cricbuzz.com/profiles/14274/rasikh-dar-salam,10.0,29.0,51.0,10.0,10.62,40.9,,,,Indian
123,Ayush Mhatre,Chennai Super Kings,Batsman,BAT,BAT_WK,C,61,8.0,99.0,85.0,33,7.0,240.0,188.98,34.29,0,https://www.cricbuzz.com/profiles/1431163/ayush-mhatre,,,,,,,,,,Indian
89,Dhruv Jurel,Rajasthan Royals,WK-Batsman,WK,BAT_WK,C,67,16.0,81.0,71.0,50,41.0,680.0,153.85,28.33,0,https://www.cricbuzz.com/profiles/14691/dhruv-jurel,,,,,,,,,,Indian
80,Lockie Ferguson,Punjab Kings,Bowler,BOWL,BOWL,C,69,,,,54,49.0,,,,0,https://www.cricbuzz.com/profiles/10692/lockie-ferguson,36.0,56.0,74.0,51.0,8.97,30.0,,,,New Zealander
155,Swapnil Singh,Royal Challengers Bengaluru,Bowling Allrounder,AR,AR,C,56,,,,37,14.0,51.0,,,0,https://www.cricbuzz.com/profiles/10238/swapnil-singh,,,,7.0,,,23.0,27.0,23.0,Indian
47,Yashasvi Jaiswal,Rajasthan Royals,Batsman,BAT,BAT_WK,B,75,43.0,80.0,85.0,63,66.0,2166.0,152.86,34.38,0,https://www.cricbuzz.com/profiles/13940/yashasvi-jaiswal,,,,,,,,,,Indian
101,Umran Malik,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,65,,,,43,26.0,,,,0,https://www.cricbuzz.com/profiles/19027/umran-malik,22.0,49.0,81.0,29.0,9.4,26.62,,,,Indian
111,Ryan Rickelton,Mumbai Indians,WK-Batsman,WK,BAT_WK,C,62,11.0,79.0,74.0,37,14.0,388.0,150.98,29.85,0,https://www.cricbuzz.com/profiles/13070/ryan-rickelton,,,,,,,,,,South African
73,Tim David,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,B,70,19.0,94.0,81.0,55,50.0,846.0,173.37,32.54,0,https://www.cricbuzz.com/profiles/13169/tim-david,,,,,,,,,,Singaporean
43,Abhishek Sharma,Sunrisers Hyderabad,Batting Allrounder,AR,AR,B,77,,,,68,77.0,1815.0,,,2,https://www.cricbuzz.com/profiles/12086/abhishek-sharma,,,,11.0,,,90.0,24.0,24.0,Indian
88,Harshit Rana,Kolkata Knight Riders,Bowler,BOWL,BOWL,C,67,,,,46,33.0,,,,0,https://www.cricbuzz.com/profiles/24729/harshit-rana,29.0,47.0,83.0,40.0,9.51,25.73,,,,Indian
58,Riyan Parag,Rajasthan Royals,Batting Allrounder,AR,AR,B,73,,,,71,83.0,1566.0,,,2,https://www.cricbuzz.com/profiles/12305/riyan-parag,,,,7.0,,,78.0,16.0,16.0,Indian
63,T Natarajan,Delhi Capitals,Bowler,BOWL,BOWL,B,72,,,,61,63.0,,,,0,https://www.cricbuzz.com/profiles/10225/t-natarajan,47.0,57.0,74.0,67.0,8.94,30.12,,,,Indian
115,Rachin Ravindra,Kolkata Knight Riders,Batting Allrounder,AR,AR,C,62,,,,39,18.0,413.0,,,0,https://www.cricbuzz.com/profiles/11177/rachin-ravindra,,,,0.0,,,49.0,29.0,29.0,New Zealander
114,Mitchell Santner,Mumbai Indians,Bowling Allrounder,AR,AR,C,62,,,,45,31.0,110.0,,,0,https://www.cricbuzz.com/profiles/10100/mitchell-santner,,,,25.0,,,25.0,40.0,25.0,New Zealander
32,David Miller,Delhi Capitals,Batsman,BAT,BAT_WK,B,80,60.0,70.0,89.0,99,141.0,3077.0,138.61,35.78,0,https://www.cricbuzz.com/profiles/6349/david-miller,,,,,,,,,,South African
85,Mohsin Khan,Lucknow Super Giants,Bowler,BOWL,BOWL,C,67,,,,42,24.0,,,,0,https://www.cricbuzz.com/profiles/13534/mohsin-khan,21.0,64.0,83.0,27.0,8.51,25.52,,,,Indian
57,Jofra Archer,Rajasthan Royals,Bowler,BOWL,BOWL,B,73,,,,56,52.0,,,,0,https://www.cricbuzz.com/profiles/11540/jofra-archer,41.0,74.0,80.0,59.0,7.89,27.15,,,,English
